s;F;;s;F;;s;F;;s;F
12,77616161;57,68270111;;12,75401839;61,21990967;;12,99719274;52,90795898;;12,75073341;60,09140396
12,76615947;58,11116791;;12,74303206;61,7164917;;12,98619878;53,34033203;;12,73974708;60,58407974
12,75615733;58,5474472;;12,73204574;62,22576904;;12,97619664;53,74536133;;12,72875312;61,0838356
12,7461552;58,98152924;;12,7220436;62,69549561;;12,96520269;54,17431641;;12,71874336;61,54941177
12,73517435;59,46297073;;12,7120262;63,16693115;;12,95423925;54,60839844;;12,70872596;62,01303482
12,72517222;59,90535355;;12,70201644;63,63372803;;12,94422948;55,00610352;;12,69872383;62,47714615
12,71516245;60,3570137;;12,69103774;64,15667725;;12,93422735;55,41503906;;12,68774513;62,99423599
12,70515269;60,808918;;12,68004378;64,68621826;;12,92422521;55,8137207;;12,67774299;63,47153091
12,69416636;61,31355667;;12,67004165;65,16693115;;12,91421544;56,22680664;;12,66674903;64,00180817
12,68318003;61,82185745;;12,65905532;65,70526123;;12,90322149;56,67895508;;12,65574745;64,53061676
12,67317789;62,28035355;;12,64903792;66,20159912;;12,89223516;57,14135742;;12,64573768;65,01889801
12,66218394;62,79402542;;12,63903579;66,69915771;;12,88222539;57,56005859;;12,63573554;65,49814606
12,65217417;63,25593948;;12,62804946;67,24749756;;12,87222326;57,98242188;;12,62475685;66,03598785
12,64216441;63,72761917;;12,61704787;67,8012085;;12,86221349;58,41088867;;12,61475471;66,52133942
12,63117045;64,24861908;;12,60704574;68,30511475;;12,85221135;58,83251953;;12,60475257;67,01499176
12,62016886;64,7740097;;12,59703597;68,81219482;;12,84220159;59,2590332;;12,59474281;67,52646637
12,6101591;65,2559433;;12,5870262;69,31488037;;12,83219945;59,68652344;;12,58473304;68,03256989
12,60014933;65,74886322;;12,57702407;69,82366943;;12,82121312;60,16674805;;12,57472328;68,54257965
12,59013193;66,23543549;;12,56702193;70,3336792;;12,81021917;60,64892578;;12,56373695;69,11362457
12,5801298;66,72859955;;12,55604323;70,9118042;;12,79923284;61,13500977;;12,55274299;69,69589996
12,56913584;67,27693939;;12,54602584;71,43792725;;12,78824651;61,62866211;;12,5427256;70,22763824
12,55815714;67,83309174;;12,53503188;72,00970459;;12,77823675;62,07592773;;12,53173927;70,81357574
12,54815501;68,34627533;;12,52404555;72,59320068;;12,76823461;62,52832031;;12,52075294;71,39902496
12,53815287;68,86190033;;12,51404342;73,12982178;;12,75823247;62,98168945;;12,51074317;71,94223785
12,52717417;69,42440033;;12,50404009;73,66545105;;12,74823034;63,42944336;;12,49974922;72,53696442
12,51617258;70,00130463;;12,49304613;74,26042175;;12,73724401;63,92773438;;12,48875526;73,13730621
12,50617045;70,52889252;;12,48205217;74,86442566;;12,72624242;64,44482422;;12,4777613;73,75034332
12,49518412;71,10701752;;12,47105822;75,46183777;;12,71622503;64,90991211;;12,4667826;74,36606598
12,48419016;71,68880463;;12,46007952;76,07658386;;12,70621526;65,38916016;;12,45579627;74,97299957
12,4731962;72,28231049;;12,44908556;76,68473816;;12,6952244;65,9161911;;12,44578651;75,53842926
12,46220225;72,87679291;;12,43906054;77,25285339;;12,6842457;66,45427704;;12,43577674;76,11045074
12,45120829;73,48274994;;12,42904314;77,82389832;;12,67325175;66,99065399;;12,42577461;76,69126129
12,44118327;74,04232025;;12,41804155;78,46232605;;12,66226542;67,53093719;;12,41577247;77,27646637
12,43116587;74,61019135;;12,40803942;79,03752136;;12,65225565;68,03118134;;12,40577033;77,86923981
12,42017191;75,23397064;;12,39705309;79,67936707;;12,64224589;68,52849579;;12,39478401;78,52280426
12,41016978;75,80672455;;12,38704332;80,26579285;;12,63125193;69,08293915;;12,38477424;79,11997223
12,39918345;76,4368515;;12,37703356;80,86100769;;12,62025797;69,63567352;;12,37476447;79,70859528
12,38818949;77,085289;;12,36605486;81,50773621;;12,61024821;70,1439743;;12,36378578;80,34970856
12,37817973;77,67415619;;12,35507616;82,16423035;;12,60023844;70,64812469;;12,35279945;81,00351715
12,36718577;78,32381439;;12,34408983;82,83000183;;12,5902363;71,15789032;;12,34180549;81,66440582
12,3562147;78,98860931;;12,3340877;83,44621277;;12,58022654;71,66082001;;12,33179572;82,27915192
12,34522074;79,64803314;;12,32407793;84,06681824;;12,5702244;72,17327118;;12,32177833;82,90439606
12,33422678;80,31917572;;12,31405291;84,68254089;;12,5592457;72,74895477;;12,31176093;83,54209137
12,32420939;80,92977142;;12,30403551;85,30778503;;12,54923594;73,28093719;;12,30174354;84,18466949
12,31419199;81,54842377;;12,29305681;86,00309753;;12,5392338;73,81096649;;12,29075721;84,88730621
12,30416697;82,16634369;;12,28206285;86,70036316;;12,52824747;74,40007782;;12,27976325;85,59287262
12,29318064;82,85555267;;12,27206072;87,33659363;;12,51725352;74,99504852;;12,26975349;86,21225739
12,28218668;83,54793549;;12,26108202;88,05241394;;12,50724375;75,53582001;;12,25876716;86,9046402
12,27218455;84,19100189;;12,25107988;88,70231628;;12,49625742;76,12346649;;12,24876192;87,52970886
12,26120585;84,89949799;;12,24009356;89,41764832;;12,48525584;76,71526337;;12,23778323;88,23722839
12,25021189;85,60799408;;12,22910723;90,13835144;;12,47426951;77,32024384;;12,22680453;88,9740448
12,23923605;86,32456207;;12,21909746;90,81169128;;12,46327555;77,92839813;;12,21680239;89,66691589
12,22825735;87,0477066;;12,2090877;91,4752655;;12,45228159;78,54680634;;12,20679263;90,35392761
12,21824759;87,71323395;;12,19907793;92,15055847;;12,4422642;79,12200165;;12,19679049;91,05412292
12,20823782;88,38755035;;12,18907579;92,82975769;;12,4322468;79,70159149;;12,18678835;91,76017761
